問題,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解の選択肢,全体の解説,1の解説,2の解説,3の解説,4の解説,5の解説
R4 第25問：ブロックチェーン技術に関する記述として、最も適切なものはどれか。,NFT（Non-Fungible Token）は、ブロックチェーン技術を基に作られた⼀意で代替不可能なトー クンであり、デジタルコンテンツに対応したNFT を発⾏することにより唯⼀性・真正性を証明できる。,PoW（Proof of Work）とは、ブロックチェーン上に新たなトランザクションを追加するための合 意形成メカニズムの1 つで、承認権限を持つ⼈のコンセンサスで決める。,スマートコントラクトは、ブロックチェーン上に保存されたプログラムコードのことであり、暗号 資産の取引に限定して利⽤される。,ブロックチェーンネットワークでは、パブリック型、コンソーシアム型、プライベート型のいずれ においても中央管理者を置くことはない。,ブロックチェーンはブロック間のデータの連続性を保証する技術の1 つであり、追加されたブロッ クが前のブロックのナンス値を保持することによって連続性が確保されている。 16,1,ブロックチェーン技術に関する問題である。 ア 適切である。NFTとは、ブロックチェーンを基盤にして作成された代替不可能な「世界中に1つ しか無く、替えが効かない」デジタルデータのことである。 イ 不適切である。PoW（Proof of Work）とは、ブロックチェーン上に新たなトランザクション（取引 情報）を追加するための合意形成メカニズムの1つで、誰でも参加することができる（承認権限 を持つ人に限定されない）。 ウ 不適切である。スマートコントラクトとは条件を満たせば自動的に契約や取引が実行されるこ とをいう。スマートコントラクトは暗号資産の取引に限定されたものではない。例えば、自動販 売機で必要な額のお金を入れてボタンを押すという条件が満たされると、自動的に飲み物を購 入するという取引が実行されることもスマートコントラクトに含まれる。 エ 不適切である。ブロックチェーンネットワークでは、パブリック型、コンソーシアム型、プライベー ト型があり、コンソーシアム型、プライベート型には中央管理者が存在する。ト型があり、コンソ シアム型、プライ ト型には中央管理者が存在する。 オ 不適切である。ブロックチェーンはブロック間のデータの連続性を保証する技術の1つであり、 追加されたブロックが前のブロックの「ハッシュ値」を保持することによって連続性が確保されて いる。なお、ブロックチェーンは、「電子署名とハッシュポインタを使用し改ざん検出が容易なデー タ構造を持ち、かつ、当該データをネットワーク上に分散する多数のノードに保持させることで、 高可用性およびデータ同一性等を実現する技術」と定義されている。 112,ア 適切である。NFTとは、ブロックチェーンを基盤にして作成された代替不可能な「世界中に1つ しか無く、替えが効かない」デジタルデータのことである。,イ 不適切である。PoW（Proof of Work）とは、ブロックチェーン上に新たなトランザクション（取引 情報）を追加するための合意形成メカニズムの1つで、誰でも参加することができる（承認権限 を持つ人に限定されない）。,ウ 不適切である。スマートコントラクトとは条件を満たせば自動的に契約や取引が実行されるこ とをいう。スマートコントラクトは暗号資産の取引に限定されたものではない。例えば、自動販 売機で必要な額のお金を入れてボタンを押すという条件が満たされると、自動的に飲み物を購 入するという取引が実行されることもスマートコントラクトに含まれる。,エ 不適切である。ブロックチェーンネットワークでは、パブリック型、コンソーシアム型、プライベー ト型があり、コンソーシアム型、プライベート型には中央管理者が存在する。ト型があり、コンソ シアム型、プライ ト型には中央管理者が存在する。,オ 不適切である。ブロックチェーンはブロック間のデータの連続性を保証する技術の1つであり、 追加されたブロックが前のブロックの「ハッシュ値」を保持することによって連続性が確保されて いる。なお、ブロックチェーンは、「電子署名とハッシュポインタを使用し改ざん検出が容易なデー タ構造を持ち、かつ、当該データをネットワーク上に分散する多数のノードに保持させることで、 高可用性およびデータ同一性等を実現する技術」と定義されている。 112
R3 第1問：パーソナルコンピュータ（PC）の利⽤においては、多様な種類の周辺機器をPC本体に接続することが ある。 USB 規格に基づく、PC 本体の受け⼝への差し込みに関する記述として、最も適切な組み合わせを下記 の解答群から選べ。 a 全てのUSB 2.0 Standard-A のコネクタは、PC 本体のUSB 2.0 Standard-Aの受け⼝に上下ど ちら の向きでも差し込むことができる。 b 全てのUSB 2.0 Standard-A のコネクタは、PC 本体のUSB 3.1 Standard-Aの受け⼝に上下ど ちら の向きでも差し込むことができる。 c 全てのUSB 3.1 Standard-A のコネクタは、PC 本体のUSB 2.0 Standard-Aの受け⼝に差し込 むこ とができる。 d 全てのUSB 3.1 Standard-A のコネクタは、PC 本体のUSB 3.1 Standard-Aの受け⼝に上下ど ちら の向きでも差し込むことができる。 e 全てのUSB 3.1 Type-C のコネクタは、PC 本体のUSB 3.1 Type-C の受け⼝に上下どちらの向きで も差し込むことができる。,ａとｂ,ｂとｄ,ｃとｄ,ｃとｅ,ｄとｅ,4,USB 規格に基づく、PC 本体の受け口への差し込みに関する問題である。 a 不適切である。Standard-A のコネクタは上下の区別があるため、上下反対にすると差し込 むことができない。 b 不適切である。Standard-A のコネクタは上下の区別があるため、上下反対にすると差し込 むことができない。 c 適切である。USB 3.1 Standard-A のコネクタ は、USB 2.0 Standard-Aの受け口に差し込む ことができる。 d 不適切である。Standard-A のコネクタは上下の区別があるため、上下反対にすると差し込 むことができない。 e 適切である。Type-Cのコネクタは上下の区別がないため、上下どちらの向きでも差し込むこ とができる。 したがって、エが正解となる。,,,,,
R3 第2問：中⼩企業でも検品・棚卸等の業務で商品の個体識別にRFID が⽤いられるようになってきた。 RFID に関する記述として、最も適切な組み合わせを下記の解答群から選べ。 a 複数のRF タグ上のデータを⼀括して読み取ることができる。 b 電波を⽤いてRF タグ上のデータを読み取ることができる。 c 3 個の検出⽤シンボルにより、RF タグ上のデータを読み取ることができる。 d ⾚外線を⽤いてRF タグ上のデータを読み取ることができる。 e 光学読み取り装置を利⽤してRF タグ上のデータを読み取ることができる。,ａとｂ,ａとｅ,ｂとｃ,ｃとｄ,ｃとｅ 第3 問 クラウドを⽀える仮想化技術の1 つにコンテナ技術がある。 コンテナ技術に関する記述として、最も適切なものはどれか。,1,RFIDに関する問題である。 RFIDは、無線を使ってICタグのデータを読み書きする非接触の認証技術のことである。 RFIDの特徴としては以下のようなものがある。 （1）非接触型 （2） 複数を一度に読める複数 度 読 （3）障害物があっても認識可能 （4）大容量、読み書き可能 （5）耐久性が高い （6）コストが安い （7）情報の機密性（セキュリティ）が高い a 適切である。 b 適切である。RFIDは電波を使った無線通信である。 c 不適切である。3 個の検出用シンボルを用いるのはQRコードである。 d 不適切である。赤外線を用いるのはIrDAである。 e 不適切である。光学読み取り装置を利用するのはQRコードである。 したがって、アが正解となる。,,,,,
R3 第4問：中⼩企業診断⼠は、アプリケーションソフトウェア（アプリケーション）の動作に必要な他のソフト ウェアの役割・機能についても理解しておく必要がある。 ソフトウェアの役割・機能に関する記述として、最も適切なものはどれか。,OS に先⽴って起動し、ディスプレイやキーボードを利⽤可能にするソフトウェアをBIOS という。,PC に接続したマウスやプリンタなどの周辺機器をアプリケーションから利⽤可能にするソフト ウェアをパッチという。,多くのアプリケーションが共通利⽤する基本処理機能を、標準化されたインタフェースでアプリ ケーションから利⽤可能にするソフトウェアをカーネルという。,⾼級⾔語で書かれたプログラムをコンピュータが実⾏可能な機械語に翻訳するソフトウェアをリ ンカという。,ハードウェアとソフトウェアの中間的な存在としてハードウェアの基本的な制御を⾏うために機 器に組み込まれたソフトウェアをミドルウェアという。,1,ソフトウェアの役割・機能に関する問題である。 ア 適切である。「BIOS」は、ハードウェアの基本的な制御を行うために機器に組み込まれたソフ トウェアである。 OSが起動するまでの動作は次の通り。 （1）BIOSが起動する。BIOSは入出力装置、主記憶装置、補助記憶装置などの状態を確認、 制御する。 （2）OSが、補助記憶装置から主記憶装置に組み込まれる（ロードされる）。 イ 不適切である。本選択肢はデバイスドライバの内容である。パッチは、出荷済みのソフトウェ アの不具合を修正・更新するために該当部分だけを書き換えるソフトウェアである。 ウ 不適切である。本選択肢はミドルウェアの内容である。カーネルは、OSの基本機能を実装し たソフトウェアで、OSの中核部分を形成するソフトウェアである。 エ 不適切である。本選択肢はコンパイラの内容である。リンカは、コンパイルした複数の目的プ ログラムやライブラリとの連携を行い、実行可能な目的プログラム（ロードモジュール）を作成す るソフトウェアである。 オ 不適切である。本選択肢はファームウェアの内容である。ミドルウェアについては選択肢ウの 内容を参照。,ア 適切である。「BIOS」は、ハードウェアの基本的な制御を行うために機器に組み込まれたソフ トウェアである。 OSが起動するまでの動作は次の通り。 （1）BIOSが起動する。BIOSは入出力装置、主記憶装置、補助記憶装置などの状態を確認、 制御する。 （2）OSが、補助記憶装置から主記憶装置に組み込まれる（ロードされる）。,イ 不適切である。本選択肢はデバイスドライバの内容である。パッチは、出荷済みのソフトウェ アの不具合を修正・更新するために該当部分だけを書き換えるソフトウェアである。,ウ 不適切である。本選択肢はミドルウェアの内容である。カーネルは、OSの基本機能を実装し たソフトウェアで、OSの中核部分を形成するソフトウェアである。,エ 不適切である。本選択肢はコンパイラの内容である。リンカは、コンパイルした複数の目的プ ログラムやライブラリとの連携を行い、実行可能な目的プログラム（ロードモジュール）を作成す るソフトウェアである。,オ 不適切である。本選択肢はファームウェアの内容である。ミドルウェアについては選択肢ウの 内容を参照。
R3 第5問：ソフトウェアには、ソースコードが無償で公開されているものがある。中⼩企業でも、このようなソフ トウェアを⽤いることが少なくない。 以下の⽂章の空欄Ａ〜Ｃに⼊る⽤語の組み合わせとして、最も適切なものを下記の解答群から選べ。 ソースコードが無償で公開されている【 A 】を⽤いることでコストの削減が期待できる。このよう なソフトウェアの代表的なライセンス条件に、BSD Licenseや【 B 】がある。 MySQL は【 B 】で利⽤可能なデータベース管理システムの1 つである。また、【 A 】である統 合開発環境の【 C 】を⽤いれば、Web アプリケーションを構築することができる。,Ａ：Freeware Ｂ：GNU General Public License Ｃ：Apache,Ａ：Freeware Ｂ：MIT License Ｃ：Apache,Ａ：OSS Ｂ：GNU General Public License Ｃ：Eclipse,Ａ：OSS Ｂ：MIT License Ｃ：Apache,Ａ：OSS Ｂ：MIT License Ｃ：Eclipse,3,OSS（オープンソースソフトウェア）に関する問題である。 空欄A ： OSS ソースコードが無償で公開されているのは OSS（オ ープンソースソフトウェア）である Freeware ソ スコ ドが無償で公開されているのは 、OSS（オ プンソ スソフトウェア）である 。Freeware （フリーソフトウェア）にはソースコードが公開されていないものもある。 空欄B ： GNU General Public License GNU General Public Licenseは、OSSの利用許諾条件などを定めたライセンスの一つであり、GPL と略されることもある。My SQLは、GNU General Public Licenseで利用可能なデータベース管理シス テムである。 空欄C E li 空欄C ： Eclipse JavaやPHPなど様々なプログラミング言語によるソフトウェア開発に利用されるオープンソースの統 合開発環境の一つである。一方、ApacheはWebサーバソフトウェアの一つである。 したがって、ウが正解となる。 第 第6問 【解答】 ウ 【解説】 Pythonに関する問題である。 Pythonは、シンプルなコードで簡潔にプログラミングが書けるスクリプト言語である。近年、人工知能 （機械学習やディープラーニング（深層学習））などの最先端分野の開発にも利用されている。 ア 不適切である。一般的にプログラミング言語では、バージョンアップがされると、一方のバージ ョンで動作するプログラムであっても、もう一方では動作しないことがある。Pythonも同様で、 Python2.x で動作するプログラムであっても、Python3.xでは動作しないプログラムも多い。 イ 不適切である。Pythonはオブジェクト指向言語と関数型言語の特徴を併せ持つ言語である。 ウ 適切である。JavaやJavaScript、C言語など多くのプログラミング言語では「括弧()」で囲った 範囲を1つのブロックとしてグループ化するが、Pythonは読みやすいソースコードとするために、 コードブロックの範囲をインデントの深さによって指定する（インデントとは行頭に空白を入れて 文字を入れて字下げを行うこと）。 エ 不適切である。本選択肢はSQLの内容である。 オ 不適切である。Pythonは論理プログラミング言語（数理論理学（記号論理学）を基礎にしたプ ログラム言語）ではない。,ア 不適切である。一般的にプログラミング言語では、バージョンアップがされると、一方のバージ ョンで動作するプログラムであっても、もう一方では動作しないことがある。Pythonも同様で、 Python2.x で動作するプログラムであっても、Python3.xでは動作しないプログラムも多い。,イ 不適切である。Pythonはオブジェクト指向言語と関数型言語の特徴を併せ持つ言語である。,ウ 適切である。JavaやJavaScript、C言語など多くのプログラミング言語では「括弧()」で囲った 範囲を1つのブロックとしてグループ化するが、Pythonは読みやすいソースコードとするために、 コードブロックの範囲をインデントの深さによって指定する（インデントとは行頭に空白を入れて 文字を入れて字下げを行うこと）。,エ 不適切である。本選択肢はSQLの内容である。,オ 不適切である。Pythonは論理プログラミング言語（数理論理学（記号論理学）を基礎にしたプ ログラム言語）ではない。
R3 第7問：ネットワーク技術の進展により、情報システムは2000 年代より、それまでのクライアント・サーバ 型の情報処理からクラウドコンピューティングへと進化した。また2010 年代半ば以降は、エッジコン ピューティングを活⽤する動きも⾒られるようになった。 これらの動きに関する記述として、最も適切な組み合わせを下記の解答群から選べ。 a クラウドコンピューティングは、インターネットなどを介してコンピュータの資源をサービス の形で利⽤者に提供するコンピューティングの形態である。 b パブリッククラウドと違いプライベートクラウドの場合には、⾃社の建物内でサーバや回線な どの設備を構築・運⽤する必要がある。 c エッジコンピューティングは、デバイスの近くにコンピュータを配置することによって、回線 への負荷を低減させ、リアルタイム性を向上させることができる。 d エッジコンピューティングを導⼊することによってIaaS の環境を実現できる。 e クラウドコンピューティングとエッジコンピューティングは、併存させることはできない。,ａとｃ,ａとｄ,ｂとｄ,ｂとｅ,ｃとｅ,1,クラウドコンピューティングに関する問題である。 a 適切である。本選択肢の通り。 b 不適切である。パブリッククラウドとは広く一般の利用者に提供されるクラウドサービスのこと をいい、プライベートクラウドとは同一企業内または企業群に提供されるクラウドサービスのこと をいう。パブリッククラウドもプライベートクラウドも、必ずしも自社の建物内でサーバや回線など の設備を構築・運用する必要はない。 適切である エッジコンピ ティングとは 利用者や端末と物理的に近い場所にコンピ タc 適切である。エッジコンピューティングとは、利用者や端末と物理的に近い場所にコンピュータ を配置して、データ処理を行う技術の総称であり、回線への負荷を低減させたり、処理応答時 間を改善することに寄与する。 クラウドクラウド クラウド コンピューティング エッジ コンピューティング クラウド インターネット エッジコンピューティング クラウド インターネット d 不適切である。IaaSは、クラウドコンピューティングでハードウェア、インフラストラクチャーを提 利用者利用者 回線への負荷の低減 処理応答時間の短縮 供するサービスである。IaaS の環境はエッジコンピューティングを導入しなくても実現できる。 e 不適切である。クラウドコンピューティングとエッジコンピューティングは併存させることができる。 したがって、アが正解となる。,,,,,
R3 第8問：意思決定や計画⽴案のために、データを収集して加⼯・分析することがますます重要になってきてい る。以下の⽂章の空欄Ａ〜Ｄに⼊る語句の組み合わせとして、最も適切なものを下記の解答群から選べ。 意思決定や計画⽴案のために、組織内で運⽤される情報システムやデータベースなどからデータを集 めて格納しておく場所を【 A 】と呼ぶ。この【 A 】から、必要なものだけを利⽤しやすい形式で 格納したデータベースを【 B 】と呼ぶ。 このような構造化されたデータに加えて、IoT 機器やSNS などからの構造化されていないデータを、 そのままの形式で格納しておく【 C 】が利⽤されつつある。膨⼤なデータを蓄積する必要があるた め、⽐較的安価なパブリッククラウドのオブジェクトストレージに格納される場合が多い。 収集されたデータの品質を⾼めるためには、データ形式の標準化や【 D 】が重要である。,Ａ：データウェアハウス Ｂ：データマート Ｃ：データレイク Ｄ：データクレンジング,Ａ：データウェアハウス Ｂ：データレイク Ｃ：データスワンプ Ｄ：データクレンジング,Ａ：データマート Ｂ：データウェアハウス Ｃ：データプール Ｄ：データマイグレーション,Ａ：データマート Ｂ：リレーショナルデータベース Ｃ：データレイク Ｄ：データマイグレーション,Ａ：データレイク Ｂ：データマート Ｃ：データプール Ｄ：データマイニング,1,データ分析に関する問題である。 空欄A ： データウェアハウス データウェアハウスとは 時系列に蓄積されたデ ータを意思決定支援のために用いる 全社規模の デ タウェアハウスとは 、時系列に蓄積されたデ タを意思決定支援のために用いる 、全社規模の 統合データベースのことである。 空欄B ： データマート データマートとは、データウェアハウスから、OLAPにより、目的別にデータを抽出・作成されたデー タベースのことをいう。 空欄C ： データレイク データレイクとは、IoT機器やSNSなどからの構造化されていないデータを、そのままの形式で格納 しておくリポジトリ（様々な情報を一つにまとめたデータベース）のことをいう。 空欄D ： データクレンジング データクレンジングとは、データウェアハウスを構築するために、データベースなどに保存されている データの中から、重複や誤記、表記の揺れなどを探し出し、削除や修正、正規化などを行ってデータの 品質を高め、横断的な解析ができるように整える処理をいう。 したがって、アが正解となる。 他の選択肢にあげられた用語の意味は以下の通りである。 ・デ タスワンプ ・データスワンプ データはあるが、どこにどんなデータがあるかわからず、欲しいデータを捉えることができない状態 をいう。 ・データプール 取引先と製品に関する情報をやり取りする際に、製品に関する情報を標準形式で入手したり、保守 したり、交換したりする、データの集中型リポジトリのことをいう。 ・データマイグレーション 異なる種類のストレージ、ソフトウェア、システム、コンピュータなどの間でデータを移行することを いう。 ・リレーショナルデータベース データを複数の表に整理して、表と表の間はそれぞれの表の中の値を用いて関連付けるデータ ベース。 ・データマイニング データウェアハウスなどに蓄積された大量のデータを分析して、法則性や規則性を導き出す方法 である。 第9問 第9問 【解答】 エ 【解説】 検索システムに関する問題である。 検索とは、データの集合の中から目的のデータを探し出すことをいい、その方法には、前方一致、後 方一致、部分一致、完全一致がある。 前方一致とは、先頭が検索語に一致する単語やフレーズを探すことをいう。例えば 「内閣」という検 索語に対して、「内閣総理大臣」「内閣官房」など、「内閣」で始まる語に一致する。 後方一致とは、末尾が検索語に一致する単語やフレーズを探すことをいう。例えば 「内閣」という検 索語に対して、「田中内閣 」「小泉内閣 」「安倍内閣 」など、「内閣」で終わる語に一致する。 部分一致とは、任意の場所に検索語が含まれる単語やフレーズを探すことをいう。例えば「内閣 」 という検索語に対して、「内閣総理大臣」「安倍内閣総理大臣」「田中内閣」などが一致する。 完全一致とは、検索語と完全に一致する単語やフレーズを探すことをいう。例えば「内閣 」という検 索語に対して、「内閣総理大臣」「安倍内閣」は一致しない。 空欄A ： 前方一致 computer、computation、computing などのように、単数形、複数形や語尾変化をもつ文字列、つ まり、末尾が変化する単語やフレーズなので、前方一致検索を用いる。 空欄B ： comput? ?はワイルドカードである。ワイルドカードとは、一部不明な文字の代わりに利用する代替文字のこ とである。「comput?」の検索語を用いれば、「comput」で始まる単語やフレーズをまとめて検索できる。 空欄C ： 後方一致 management、government、paymentの各単語は、末尾の「ment」が一致しているため、後方一致 が該当する。 空欄D ： AND AND検索とは、複数の条件をいずれも満たすものを検索することをいう。 空欄E ： 完全一致 「system information」でも「information X system」でも「information」でも「system」でもない 「information system」という単語やフレ ズを探す場合 完全 致検索を用いる 「information system」という単語やフレーズを探す場合、完全一致検索を用いる。 したがって、エが正解となる。,,,,,
R3 第10問：ある中⼩企業における今週のＡ部⾨とＢ部⾨の販売実績は、販売実績表Ａ、販売実績表Ｂのとおりで あった。UNION句を⽤いて2つの表を1 つにまとめたい。 そのためのSQL⽂として、最も適切なものを下記の解答群から選べ。 販売実績表Ａ 取引ID 商品番号 商品名 販売単価 販売数量 A001 100 バナナ 100 1 A002 101 リンゴ 120 1 A003 103 メロン 300 1 A004 ………… 販売実績表B 取引ID 商品番号 商品名 販売単価 販売数量 B001 100 バナナ 100 1 B002 101 リンゴ 130 2 B003 105 ブドウ 400 2 B004 …………,"SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ FROM 販売実績表Ａ UNION FROM 販売実績表Ｂ；","SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ FROM 販売実績表Ａ UNION SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ FROM 販売実績表Ｂ；","SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ FROM 販売実績表Ａ , 販売実績表Ｂ UNION SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ ；","SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ UNION FROM 販売実績表Ａ , 販売実績表Ｂ；","SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ UNION SELECT 取引ID , 商品番号 , 商品名 , 販売単価 ＊ 販売数量 AS 売上⾼ FROM 販売実績表Ａ , 販売実績表Ｂ；",2,"SELECT文のUNION句に関する問題である。 UNION句は二つ以上のSELECTの結果を、統合して表示する仕組みである。 UNION句の基本構文は下記の通りである。 SELECT 列名1,～列名n FROM テーブル名1 UNION SELECT 列名1 列名 FROM テ ブル名2 SELECT 列名1,～列名n FROM テーブル名2 UNION句では列名が同じで、テーブルがそれぞれ独立している必要がある。 ア 不適切である。UNIONの次にSELECTではなくFROMが記述されており、UNION句の基本構 文を満たしていない。 イ 適切である。販売実績表Aと販売実績表Bがそれぞれ独立しており、また列名も同じであるた め、UNION句の基本構文を満たしている。 ウ 不適切である。FROMの販売実績表Bの位置が不適切であり、UNION句の基本構文を満た していない。 エ 不適切である。FROMの記述が不適切であり、UNION句の基本構文を満たしていない。 オ 不適切である FROMの記述が不適切であり UNION句の基本構文を満たしていないオ 不適切である。FROMの記述が不適切であり、UNION句の基本構文を満たしていない。",ア 不適切である。UNIONの次にSELECTではなくFROMが記述されており、UNION句の基本構 文を満たしていない。,イ 適切である。販売実績表Aと販売実績表Bがそれぞれ独立しており、また列名も同じであるた め、UNION句の基本構文を満たしている。,ウ 不適切である。FROMの販売実績表Bの位置が不適切であり、UNION句の基本構文を満た していない。,エ 不適切である。FROMの記述が不適切であり、UNION句の基本構文を満たしていない。,オ 不適切である FROMの記述が不適切であり UNION句の基本構文を満たしていないオ 不適切である。FROMの記述が不適切であり、UNION句の基本構文を満たしていない。
R3 第11問：情報システムの利⽤において、利⽤者を認証する仕組みの理解は重要である。 それらに関する記述として、最も適切なものはどれか。,⽣体認証では、IDとパスワードに加えてセキュリティトークンによって利⽤者を認証する。,チャレンジレスポンス認証では、指紋認証、静脈認証、署名の速度や筆圧などによって利⽤者を 認証する。,⼆要素認証では、パスワードだけではなく秘密の質問の答えの2 つを組み合わせることによって 利⽤者を認証する。,リスクベース認証では、普段と異なる環境からログインする際、通常の認証に加えて合⾔葉など によって利⽤者を認証する。,ワンタイムパスワードによる認証では、⼀度認証されれば、利⽤する権限を持つ各サーバやアプ リケーションでの認証が不要となる。,4,利用者認証の仕組みに関する問題である。 利用者認証の仕組みに関する問題である。 ア 不適切である。生体認証（バイオメトリクス認証）とは、指や手のひらなどの体の一部や動作 の癖などを利用して本人確認を行う認証方法である。セキュリティトークンとはワンタイムパス ワードを生成する機械やソフトウェアのことである。 イ 不適切である。チャレンジレスポンス認証とは、毎回異なるランダムな「チャレンジコード」と呼 ばれる値とハッシュ関数を使用してユーザ認証する方法である。 ウ 不適切である。二要素認証とは、パスワードなどの記憶（知識）による認証手段、ICカードなど の所有物による認証手段、指紋や虹彩などの身体的特徴による認証手段のうち、2種類を組み 合わせる認証方法である。 エ 適切である。リスクベース認証とは、普段と異なる環境（IPアドレス等）からのアクセスに対し て追加の認証を行うことで安全性を高める認証技術のことをいう。 オ 不適切である。本選択肢はシングルサインオンの内容である。ワンタイムパスワードによる 認証とはネットワーク上を流れるパスワードを毎回変えて認証する方法である。,ア 不適切である。生体認証（バイオメトリクス認証）とは、指や手のひらなどの体の一部や動作 の癖などを利用して本人確認を行う認証方法である。セキュリティトークンとはワンタイムパス ワードを生成する機械やソフトウェアのことである。,イ 不適切である。チャレンジレスポンス認証とは、毎回異なるランダムな「チャレンジコード」と呼 ばれる値とハッシュ関数を使用してユーザ認証する方法である。,ウ 不適切である。二要素認証とは、パスワードなどの記憶（知識）による認証手段、ICカードなど の所有物による認証手段、指紋や虹彩などの身体的特徴による認証手段のうち、2種類を組み 合わせる認証方法である。,エ 適切である。リスクベース認証とは、普段と異なる環境（IPアドレス等）からのアクセスに対し て追加の認証を行うことで安全性を高める認証技術のことをいう。,オ 不適切である。本選択肢はシングルサインオンの内容である。ワンタイムパスワードによる 認証とはネットワーク上を流れるパスワードを毎回変えて認証する方法である。
R3 第14問：システム開発に利⽤されるオブジェクト指向のモデリング技法にUML（Uniﬁed Modeling Language） がある。 UML のダイアグラムに関する記述として、最も適切なものはどれか。,アクティビティ図は、対象となるシステムとその利⽤者とのやり取りを表現するダイアグラムで ある。,オブジェクト図は、対象となるシステムを構成する概念・事物・事象とそれらの間にある関連を 表現するダイアグラムである。,シーケンス図は、オブジェクト間のメッセージの流れを時系列的に表現するダイアグラムである。,ステートマシン図は、活動の流れや業務の⼿順を表現するダイアグラムである。,ユースケース図は、システム内部の振る舞いを表現するためのもので、ユースケースをまたがっ たオブジェクトごとの状態遷移を表現するダイアグラムである。,3,UML のダイアグラムに関する問題である。 ア 不適切である。本選択肢はユースケース図の内容である。アクティビティ図は、業務や処理 の流れを表現した図である。 イ 不適切である。本選択肢はクラス図の内容である。オブジェクト図は、クラス図などで表現さ れたクラス構成や相互関係に対して、それを具体化したレベルで表現された図である。クラス 図は抽象的なものなので、補助的に具体的なオブジェクト図を描いてクラス図の意味を確認 する。 ウ 適切である。本選択肢の通り。 エ 不適切である。本選択肢はアクティビティ図の内容である。ステートマシン図は、システム内 部の振る舞いを表現するためのもので、条件により変化するオブジェクトごとの状態遷移（ある 状態から別の状態に変化すること）を表現した図である。 オ 不適切である。本選択肢はステートマシン図の内容である。ユースケース図は、対象となる システムとその利用者とのやり取りを表現する図である。,ア 不適切である。本選択肢はユースケース図の内容である。アクティビティ図は、業務や処理 の流れを表現した図である。,イ 不適切である。本選択肢はクラス図の内容である。オブジェクト図は、クラス図などで表現さ れたクラス構成や相互関係に対して、それを具体化したレベルで表現された図である。クラス 図は抽象的なものなので、補助的に具体的なオブジェクト図を描いてクラス図の意味を確認 する。,ウ 適切である。本選択肢の通り。,エ 不適切である。本選択肢はアクティビティ図の内容である。ステートマシン図は、システム内 部の振る舞いを表現するためのもので、条件により変化するオブジェクトごとの状態遷移（ある 状態から別の状態に変化すること）を表現した図である。,オ 不適切である。本選択肢はステートマシン図の内容である。ユースケース図は、対象となる システムとその利用者とのやり取りを表現する図である。
